Date,Open,High,Low,Close,Adj Close,Volume,Daily Return,20-day MA,50-day MA
2020-01-02,74.05999755859375,75.1500015258789,73.79750061035156,75.0875015258789,72.87610626220703,135480400,,,
2020-01-03,74.2874984741211,75.1449966430664,74.125,74.35749816894531,72.16761016845703,146322800,-0.009721925746153937,,
2020-01-06,73.44750213623047,74.98999786376953,73.1875,74.94999694824219,72.7426528930664,118387200,0.007968155288322398,,
2020-01-07,74.95999908447266,75.2249984741211,74.37000274658203,74.59750366210938,72.40055084228516,108872000,-0.004702908639916514,,
2020-01-08,74.29000091552734,76.11000061035156,74.29000091552734,75.79750061035156,73.56520080566406,132079200,0.016086203072072536,,
2020-01-09,76.80999755859375,77.60749816894531,76.55000305175781,77.40750122070312,75.12777709960938,170108400,0.021240699091859216,,
2020-01-10,77.6500015258789,78.1675033569336,77.0625,77.5824966430664,75.2976303100586,140644800,0.0022608576615279485,,
2020-01-13,77.91000366210938,79.26750183105469,77.7874984741211,79.23999786376953,76.90631103515625,121532000,0.021364294181283938,,
2020-01-14,79.17500305175781,79.39250183105469,78.0425033569336,78.16999816894531,75.8678207397461,161954400,-0.013503316976618884,,
2020-01-15,77.9625015258789,78.875,77.38749694824219,77.83499908447266,75.54267883300781,121923600,-0.0042856365659116324,,
2020-01-16,78.39749908447266,78.92500305175781,78.02249908447266,78.80999755859375,76.48897552490234,108829200,0.012526649921779764,,
2020-01-17,79.06749725341797,79.68499755859375,78.75,79.68250274658203,77.33576965332031,137816400,0.011070799714689272,,
2020-01-21,79.29750061035156,79.75499725341797,79.0,79.14250183105469,76.8116683959961,110843200,-0.006776957928700478,,
2020-01-22,79.6449966430664,79.99749755859375,79.32749938964844,79.42500305175781,77.08587646484375,101832400,0.003569875183988991,,
2020-01-23,79.4800033569336,79.88999938964844,78.9124984741211,79.80750274658203,77.45709991455078,104472000,0.004815712900096969,,
2020-01-24,80.0625,80.8324966430664,79.37999725341797,79.57749938964844,77.23387908935547,146537600,-0.0028818639665255663,,
2020-01-27,77.51499938964844,77.94249725341797,76.22000122070312,77.23750305175781,74.96279907226562,161940000,-0.02940523050075372,,
2020-01-28,78.1500015258789,79.5999984741211,78.04750061035156,79.42250061035156,77.08343505859375,162234000,0.0282891782667265,,
2020-01-29,81.11250305175781,81.9625015258789,80.34500122070312,81.08499908447266,78.69698333740234,216229200,0.020932490587401542,,
